id,title,link,expected,note,Tonkeeper JS,Tonkeeper IOS,@Wallet,MyTonWallet
ton-address-only,Address only (user picks amount),ton://transfer/UQCae11h9N5znylEPRjmuLYGvIwnxkcCw4zVW4BJjVASi5eL,Send screen; user can enter amount and optional comment.,Кажется менятьадрес назначения должно быть нельзя,ok,ok,ok,ok
ton-text-only,Text only,ton://transfer/UQCae11h9N5znylEPRjmuLYGvIwnxkcCw4zVW4BJjVASi5eL?text=test,"Send screen with comment prefilled; user can enter amount. TODO: user can enter ONLY amount, not comment",Кажется менять коммент или адрес назначения должно быть нельзя,ok,ok,ok,ok
ton-amount,Amount,ton://transfer/UQCae11h9N5znylEPRjmuLYGvIwnxkcCw4zVW4BJjVASi5eL?amount=1,Confirmation screen showing amount; no comment.,,ok,ok,partial,partial
ton-amount-text,Amount + text,ton://transfer/UQCae11h9N5znylEPRjmuLYGvIwnxkcCw4zVW4BJjVASi5eL?amount=1&text=test,Confirmation screen showing amount and comment.,,ok,ok,partial,partial
ton-dns-amount,DNS address + amount,ton://transfer/subbotin.ton?amount=1,Confirmation screen showing amount; DNS resolved.,,ok,ok,partial,partial
ton-amount-bin,Amount + bin,ton://transfer/UQCae11h9N5znylEPRjmuLYGvIwnxkcCw4zVW4BJjVASi5eL?amount=1&bin=te6cckEBAQEACQAADgAAAABiaW793PSE,Confirmation screen showing amount; includes binary payload (bin); text 'bin' (default bin).,,ok,ok,not_ok,ok
ton-text-bin-invalid,Text + bin (invalid),ton://transfer/UQCae11h9N5znylEPRjmuLYGvIwnxkcCw4zVW4BJjVASi5eL?amount=1&text=test&bin=te6ccgEBAQEANwAAaV0r640BleSq4Ql3m5OrdlSApYTNRMdDGUFXwTpwZ1oe1G8cPlS_Zym8CwoAdO4mWSned-Fg,Expected: Reject. text and bin are mutually exclusive.,,ok,ok,not_ok,ok
ton-bin-no-amount-invalid,bin without amount (invalid),ton://transfer/UQCae11h9N5znylEPRjmuLYGvIwnxkcCw4zVW4BJjVASi5eL?bin=te6ccgEBAQEANwAAaV0r640BleSq4Ql3m5OrdlSApYTNRMdDGUFXwTpwZ1oe1G8cPlS_Zym8CwoAdO4mWSned-Fg,Expected: Reject. bin requires amount.,,not_ok,not_ok,not_ok,not_ok
ton-amount-exp,Amount + exp,ton://transfer/UQCae11h9N5znylEPRjmuLYGvIwnxkcCw4zVW4BJjVASi5eL?amount=1&exp=1756198744,Confirmation screen showing amount; valid until exp; after expiration wallet rejects.,30 секунд в будущем почему то не валидная ссылка (на много в будущее - валидно),not_ok,not_ok,not_ok,not_ok
ton-amount-text-exp,Amount + text + exp,ton://transfer/UQCae11h9N5znylEPRjmuLYGvIwnxkcCw4zVW4BJjVASi5eL?amount=1&text=test&exp=1756198744,Confirmation screen showing amount and comment; valid until exp; after expiration wallet rejects.,30 секунд в будущем почему то не валидная ссылка (на много в будущее - валидно),not_ok,not_ok,not_ok,not_ok
ton-text-exp,Text + exp (no amount),ton://transfer/UQCae11h9N5znylEPRjmuLYGvIwnxkcCw4zVW4BJjVASi5eL?text=test&exp=1756198744,Send screen with comment prefilled; valid until exp; after expiration wallet rejects. TODO: should be rejected?,"Кажется Exp не будет использован, тесткейс невалиден?",not_ok,not_ok,not_ok,not_ok
